Favorite Color_num,Favorite Music Genre_num,Favorite Beverage_num,Gender,Favorite Soft Drink_num,Favorite Soft Drink,Favorite Beverage,Favorite Music Genre,Favorite Color
1,7,4,F,1,7UP/Sprite,Vodka,Rock,Cool
3,3,4,F,2,CocaCola,Vodka,Hip hop,Neutral
2,7,6,F,2,CocaCola,Wine,Rock,Warm
2,2,5,F,3,Fanta,Whiskey,Folk/Traditional,Warm
1,7,4,F,2,CocaCola,Vodka,Rock,Cool
2,4,2,F,3,Fanta,Doesn't drink,Jazz/Blues,Warm
1,5,1,F,2,CocaCola,Beer,Pop,Cool
2,5,5,F,3,Fanta,Whiskey,Pop,Warm
2,7,3,F,1,7UP/Sprite,Other,Rock,Warm
3,5,6,F,2,CocaCola,Wine,Pop,Neutral
1,5,3,F,1,7UP/Sprite,Other,Pop,Cool
2,5,3,F,1,7UP/Sprite,Other,Pop,Warm
2,5,6,F,1,7UP/Sprite,Wine,Pop,Warm
2,1,6,F,2,CocaCola,Wine,Electronic,Warm
1,7,1,F,2,CocaCola,Beer,Rock,Cool
2,4,6,F,2,CocaCola,Wine,Jazz/Blues,Warm
1,5,6,F,1,7UP/Sprite,Wine,Pop,Cool
1,7,3,F,2,CocaCola,Other,Rock,Cool
1,7,3,F,2,CocaCola,Other,Rock,Cool
1,5,2,F,1,7UP/Sprite,Doesn't drink,Pop,Cool
1,5,1,F,3,Fanta,Beer,Pop,Cool
2,4,5,F,3,Fanta,Whiskey,Jazz/Blues,Warm
1,7,4,F,2,CocaCola,Vodka,Rock,Cool
2,5,3,F,2,CocaCola,Other,Pop,Warm
1,2,5,F,1,7UP/Sprite,Whiskey,Folk/Traditional,Cool
2,6,5,F,2,CocaCola,Whiskey,R&B and soul,Warm
1,5,1,F,4,Other,Beer,Pop,Cool
1,5,2,F,4,Other,Doesn't drink,Pop,Cool
1,5,2,F,2,CocaCola,Doesn't drink,Pop,Cool
1,1,2,F,3,Fanta,Doesn't drink,Electronic,Cool
2,7,3,F,2,CocaCola,Other,Rock,Warm
3,7,1,F,2,CocaCola,Beer,Rock,Neutral
1,6,1,F,2,CocaCola,Beer,R&B and soul,Cool
2,6,6,M,4,Other,Wine,R&B and soul,Warm
3,3,1,M,1,7UP/Sprite,Beer,Hip hop,Neutral
2,1,3,M,2,CocaCola,Other,Electronic,Warm
3,7,2,M,2,CocaCola,Doesn't drink,Rock,Neutral
1,5,3,M,3,Fanta,Other,Pop,Cool
1,5,5,M,3,Fanta,Whiskey,Pop,Cool
2,7,4,M,1,7UP/Sprite,Vodka,Rock,Warm
1,7,4,M,2,CocaCola,Vodka,Rock,Cool
3,5,2,M,1,7UP/Sprite,Doesn't drink,Pop,Neutral
2,6,2,M,2,CocaCola,Doesn't drink,R&B and soul,Warm
1,7,6,M,1,7UP/Sprite,Wine,Rock,Cool
1,2,1,M,4,Other,Beer,Folk/Traditional,Cool
1,3,1,M,2,CocaCola,Beer,Hip hop,Cool
1,3,6,M,2,CocaCola,Wine,Hip hop,Cool
1,6,5,M,1,7UP/Sprite,Whiskey,R&B and soul,Cool
1,7,2,M,4,Other,Doesn't drink,Rock,Cool
2,3,1,M,2,CocaCola,Beer,Hip hop,Warm
1,6,2,M,2,CocaCola,Doesn't drink,R&B and soul,Cool
1,7,2,M,2,CocaCola,Doesn't drink,Rock,Cool
1,3,2,M,4,Other,Doesn't drink,Hip hop,Cool
2,7,1,M,3,Fanta,Beer,Rock,Warm
1,1,2,M,3,Fanta,Doesn't drink,Electronic,Cool
1,1,3,M,3,Fanta,Other,Electronic,Cool
2,2,3,M,3,Fanta,Other,Folk/Traditional,Warm
2,1,4,M,3,Fanta,Vodka,Electronic,Warm
2,4,4,M,2,CocaCola,Vodka,Jazz/Blues,Warm
1,5,5,M,4,Other,Whiskey,Pop,Cool
1,1,5,M,2,CocaCola,Whiskey,Electronic,Cool
1,7,4,M,2,CocaCola,Vodka,Rock,Cool
1,3,1,M,2,CocaCola,Beer,Hip hop,Cool
3,3,2,M,3,Fanta,Doesn't drink,Hip hop,Neutral
1,7,6,M,2,CocaCola,Wine,Rock,Cool
1,1,1,M,2,CocaCola,Beer,Electronic,Cool
